video_filename,matched_music_filename,match_rank,video_score,music_score,score_difference
ACCEDE09633.mp4,14691.mp3,3,0.7855072463768116,0.7692307692456538,0.016276477131157763
ACCEDE09753.mp4,14492.mp3,1,0.927536231884058,0.9090909090733182,0.01844532281073974
ACCEDE09753.mp4,14400.mp3,2,0.927536231884058,1.0,0.07246376811594202
ACCEDE09753.mp4,14395.mp3,3,0.927536231884058,1.0,0.07246376811594202
ACCEDE09747.mp4,14621.mp3,1,0.1710144927536231,0.1587301587301587,0.012284334023464405
ACCEDE09747.mp4,14624.mp3,2,0.1710144927536231,0.1587301587301587,0.012284334023464405
ACCEDE09747.mp4,14627.mp3,3,0.1710144927536231,0.1587301587301587,0.012284334023464405
ACCEDE09790.mp4,14399.mp3,1,0.7217391304347827,0.7142857142857143,0.007453416149068359
ACCEDE09790.mp4,15026.mp3,2,0.7217391304347827,0.7142857142857143,0.007453416149068359
ACCEDE09790.mp4,15027.mp3,3,0.7217391304347827,0.7142857142857143,0.007453416149068359
ACCEDE09784.mp4,14492.mp3,1,0.8782608695652174,0.9090909090733182,0.030830039508100815
ACCEDE09784.mp4,15044.mp3,2,0.8782608695652174,0.8333333333333333,0.04492753623188417
ACCEDE09784.mp4,15043.mp3,3,0.8782608695652174,0.8333333333333333,0.04492753623188417
ACCEDE09551.mp4,14760.mp3,1,0.6550724637681159,0.6666666666666666,0.011594202898550732
ACCEDE09551.mp4,14628.mp3,2,0.6550724637681159,0.6250000000096749,0.03007246375844097
ACCEDE09551.mp4,14629.mp3,3,0.6550724637681159,0.6250000000096749,0.03007246375844097
ACCEDE09237.mp4,14695.mp3,1,0.7884057971014493,0.7692307692456538,0.0191750278557955
ACCEDE09237.mp4,14694.mp3,2,0.7884057971014493,0.7692307692456538,0.0191750278557955
ACCEDE09237.mp4,14691.mp3,3,0.7884057971014493,0.7692307692456538,0.0191750278557955
ACCEDE09545.mp4,14760.mp3,1,0.6492753623188405,0.6666666666666666,0.017391304347826098
ACCEDE09545.mp4,14628.mp3,2,0.6492753623188405,0.6250000000096749,0.024275362309165605
ACCEDE09545.mp4,14629.mp3,3,0.6492753623188405,0.6250000000096749,0.024275362309165605
ACCEDE09579.mp4,14628.mp3,1,0.6347826086956522,0.6250000000096749,0.009782608685977245
ACCEDE09579.mp4,14629.mp3,2,0.6347826086956522,0.6250000000096749,0.009782608685977245
ACCEDE09579.mp4,14375.mp3,3,0.6347826086956522,0.6250000000096749,0.009782608685977245
ACCEDE09592.mp4,14760.mp3,1,0.6666666666666666,0.6666666666666666,0.0
ACCEDE09592.mp4,14628.mp3,2,0.6666666666666666,0.6250000000096749,0.0416666666569917
ACCEDE09592.mp4,14629.mp3,3,0.6666666666666666,0.6250000000096749,0.0416666666569917
ACCEDE09586.mp4,14429.mp3,1,0.5739130434782609,0.5882352941085411,0.014322250630280253
ACCEDE09586.mp4,14415.mp3,2,0.5739130434782609,0.5882352941085411,0.014322250630280253
ACCEDE09586.mp4,14818.mp3,3,0.5739130434782609,0.5882352941085411,0.014322250630280253
ACCEDE09582.mp4,14763.mp3,1,0.4753623188405797,0.4761904761904761,0.0008281573498963857
ACCEDE09582.mp4,14616.mp3,2,0.4753623188405797,0.4761904761904761,0.0008281573498963857
ACCEDE09582.mp4,14748.mp3,3,0.4753623188405797,0.4761904761904761,0.0008281573498963857
ACCEDE09596.mp4,14695.mp3,1,0.7884057971014493,0.7692307692456538,0.0191750278557955
ACCEDE09596.mp4,14694.mp3,2,0.7884057971014493,0.7692307692456538,0.0191750278557955
ACCEDE09596.mp4,14691.mp3,3,0.7884057971014493,0.7692307692456538,0.0191750278557955
